Category: All categories

Week,gym: (United States)
2019-01-06,91
2019-01-13,86
2019-01-20,85
2019-01-27,80
2019-02-03,76
2019-02-10,76
2019-02-17,83
2019-02-24,74
2019-03-03,76
2019-03-10,74
2019-03-17,72
2019-03-24,74
2019-03-31,70
2019-04-07,68
2019-04-14,69
2019-04-21,67
2019-04-28,67
2019-05-05,67
2019-05-12,67
2019-05-19,67
2019-05-26,74
2019-06-02,76
2019-06-09,76
2019-06-16,75
2019-06-23,76
2019-06-30,71
2019-07-07,71
2019-07-14,71
2019-07-21,70
2019-07-28,71
2019-08-04,74
2019-08-11,75
2019-08-18,75
2019-08-25,75
2019-09-01,73
2019-09-08,65
2019-09-15,65
2019-09-22,63
2019-09-29,66
2019-10-06,63
2019-10-13,63
2019-10-20,62
2019-10-27,60
2019-11-03,67
2019-11-10,70
2019-11-17,80
2019-11-24,82
2019-12-01,75
2019-12-08,69
2019-12-15,69
2019-12-22,85
2019-12-29,100
